Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,Govt good,Govt bad,Govt net,Question
1966,Apr,14-19,,Gallup,DT,35.5,,54.5,,8.5,,-19.0,,,,,,,63.0,,,,,,,,53.0,32.0,21.0,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,21-15,,NOP,DM,35.6,,55.0,,8.7,,-19.4,,,,,,,,,,,,,,,,,,
,May,5-9,,NOP,DM,34.1,-1.5,55.2,0.2,9.6,0.9,-21.1,-1.7,,,,,,,,,,,,,,,,,
,May,6-10,,Gallup,DT,35.5,0.0,53.5,3.2,10.0,3.2,-18.0,3.2,,,,,,69.0,,,,,,,,54.0,31.0,23.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,3-7,,Gallup,DT,39.5,4.0,52.0,-0.7,7.5,-0.7,-12.5,-0.7,,,,,,58.0,,,,,,,,44.0,36.0,8.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,22-27,,NOP,DM,37.3,3.2,55.2,0.0,6.8,-2.8,-17.9,3.2,,,,,,,,,,,,,,,,,
,Jul,6-11,,NOP,DM,36.6,-0.7,53.4,-1.8,9.0,2.2,-16.8,1.1,,,,,,,,,,,,,,,,,
,Jul,14-19,,Gallup,DT,41.0,1.5,48.5,2.2,8.5,2.2,-7.5,2.2,,,,,,61.0,,,,,,,,42.0,37.0,5.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jul,27-1,,NOP,DM,38.8,2.2,48.1,-5.3,11.4,2.4,-9.3,7.5,,,,,,,,,,,,,,,,,
,Aug,29-2,,Gallup,DT,44.5,3.5,44.0,3.0,10.5,3.0,0.5,3.0,,,,,,52.0,,,,,,,,35.0,50.0,-15.0,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,2-6,,Gallup,DT,42.5,-2.0,45.0,3.1,11.5,3.1,-2.5,3.1,,,,,,49.0,,,,,,,,36.0,49.0,-13.0,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,7-12,,NOP,DM,38.4,-0.4,50.5,2.4,9.9,-1.5,-12.1,-2.8,,,,,,,,,,,,,,,,,
,Sep,21-26,,NOP,DM,39.5,1.1,46.6,-3.9,12.2,2.3,-7.1,5.0,,,,,,,,,,,,,,,,,
,Oct,5-10,,NOP,DM,36.0,-3.5,51.3,4.7,11.3,-0.9,-15.3,-8.2,,,,,,,,,,,,,,,,,
,Oct,,,Gallup,DT,43.0,0.5,44.5,3.0,11.5,3.0,-1.5,3.0,,,,,,43.0,,,,,,,,32.0,52.0,-20.0,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,7-13,,Gallup,DT,44.0,1.0,42.0,3.1,12.5,3.1,2.0,3.1,,,,,,46.0,,,,,,,,33.0,50.0,-17.0,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,9-14,,NOP,DM,39.0,3.0,46.3,-5.0,12.9,1.6,-7.3,8.0,,,,,,,,,,,,,,,,,
,Nov,23-28,,NOP,DM,42.1,3.1,46.6,0.3,9.4,-3.5,-4.5,2.8,,,,,,,,,,,,,,,,,
,Dec,5-11,,Gallup,DT,42.0,-2.0,46.0,0.4,10.5,0.4,-4.0,0.4,,,,,,,,,,,,,,40.0,48.0,-8.0,Are you satisfied or dissatisfied with the Government's record to date?
,Dec,6-12,,NOP,DM,42.5,0.4,47.0,0.4,8.6,-0.8,-4.5,0.0,,,,,,,,,,,,,,,,,
1967,Jan,4-9,,NOP,DM,40.0,-2.5,46.4,-0.6,11.7,3.1,-6.4,-1.9,,,,,,,,,,,,,,,,,
,Jan,9-15,,Gallup,DT,42.5,0.5,45.5,-0.5,10.5,0.0,-3.0,1.0,,,,,,51.0,,,,,,,,40.0,45.0,-5.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jan,18-23,,NOP,DM,39.0,-1.0,48.2,1.8,11.7,0.0,-9.2,-2.8,,,,,,,,,,,,,,,,,
,Feb,1-6,,NOP,DM,39.6,0.6,47.4,-0.8,11.2,-0.5,-7.8,1.4,,,,,,,,,,,,,,,,,
,Feb,6-12,,Gallup,DT,37.0,-5.5,48.5,3.0,13.0,2.5,-11.5,-8.5,,,,,,57.0,,,,,,,,44.0,44.0,0.0,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,15-20,,NOP,DM,41.7,2.1,45.0,-2.4,11.1,-0.1,-3.3,4.5,,,,,,,,,,,,,,,,,
,Mar,15-20,,NOP,DM,41.9,0.2,47.4,2.4,9.2,-1.9,-5.5,-2.2,,,,,,,,,,,,,,,,,
,Mar,27-5,,Gallup,DT,42.5,5.5,42.5,-6.0,12.5,-0.5,0.0,11.5,,,,,,53.0,,,,,,,,40.0,45.0,-5.0,Are you satisfied or dissatisfied with the Government's record to date?
,Mar,30-3,,NOP,DM,38.3,-3.6,49.3,1.9,10.8,1.6,-11.0,-5.5,,,,,,,,,,,,,,,,,
,Apr,12-16,,Gallup,DT,45.5,3.0,41.5,8.3,11.0,8.3,4.0,4.0,,,,,,42.0,,,,,,,,44.0,41.0,3.0,Are you satisfied or dissatisfied with the Government's record to date?
,Apr,19-24,,NOP,DM,46.6,8.3,44.3,-5.0,7.6,-3.2,2.3,13.3,"Likely second Apr NOP polling missing. In months with two NOP polls, Rose, The Polls and the 1970 Election, gives the average of the two. For this month it gives very different figures, suggesting that it is an average too.",,,,,,,,,,,,,,,,
,May,8-14,,Gallup,DT,46.5,1.0,40.0,-1.5,12.0,1.0,6.5,2.5,,,,,,43.0,,,,,,,,38.0,47.0,-9.0,Are you satisfied or dissatisfied with the Government's record to date?
,May,?-15,,NOP,DM,45.6,-1.0,43.3,-1.0,8.4,0.8,2.3,0.0,,,,,,,,,,,,,,,,,
,May ,,,ORC,ES,46.0,,40.0,,11.0,,6.0,,,,,,,,,,,,,,,,,,
,Jun,5-11,,Gallup,DT,48.0,1.5,41.0,1.0,9.5,-2.5,7.0,0.5,,,,,,46.0,,,,,,,,36.0,46.0,-10.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,7-12,,NOP,DM,42.8,-2.8,46.0,2.7,9.2,0.8,-3.2,-5.5,,,,,,,,,,,,,,,,,
,Jun,22-27,,NOP,DM,42.2,-0.6,48.1,2.1,8.1,-1.1,-5.9,-2.7,,,,,,,,,,,,,,,,,
,Jun,,,ORC,ES,42.0,-4.0,46.0,6.0,10.0,-1.0,-4.0,-10.0,,,,,,,,,,,,,,,,,
,Jul,2-9,,Gallup,DT,43.5,-4.5,41.0,0.0,13.0,3.5,2.5,-4.5,,,,,,48.0,,,,,,,,35.0,45.0,-10.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jul,6-11, ,NOP,DM,43.5,1.3,45.2,-2.9,9.1,1.0,-1.7,4.2,,,,,,,,,,,,,,,,,
,Jul,20-25,,NOP,DM,43.1,-0.4,44.1,-1.1,10.9,1.8,-1.0,0.7,,,,,,,,,,,,,,,,,
,Jul,,,ORC,ES,40.0,-2.0,45.0,-1.0,12.0,2.0,-5.0,-1.0,,,,,,,,,,,,,,,,,
,Aug,6-13,,Gallup,DT,43.0,-0.5,42.0,1.0,13.0,0.0,1.0,-1.5,,,,,,45.0,,,,,,,,33.0,50.0,-17.0,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,16-21,,NOP,DM,45.9,2.8,41.3,-2.8,10.1,-0.8,4.6,5.6,,,,,,,,,,,,,,,,,
,Aug,,,ORC,ES,44.0,4.0,41.0,-4.0,12.0,0.0,3.0,8.0,,,,,,,,,,,,,,,,,
,Aug,31-4,,NOP,DM,47.0,1.1,41.5,0.2,9.9,-0.2,5.5,0.9,,,,,,,,,,,,,,,,,
,Sep,3-10,,Gallup,DT,45.0,2.0,41.5,-0.5,10.5,-2.5,3.5,2.5,,,,,,40.0,,,,,,,,29.0,56.0,-27.0,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,13-18,,NOP,DM,46.6,-0.4,40.1,-1.4,11.0,1.1,6.5,1.0,,,,,,,,,,,,,,,,,
,Sep,,,ORC,ES,45.0,1.0,40.0,-1.0,11.0,-1.0,5.0,2.0,,,,,,,,,,,,,,,,,
,Sep,27-2,,NOP,DM,43.5,-3.1,41.6,1.5,12.3,1.3,1.9,-4.6,,,,,,,,,,,,,,,,,
,Oct,,,Gallup,DT,45.0,0.0,38.0,-3.5,14.0,3.5,7.0,3.5,,,,,,38.0,,,,,,,,,,,
,Oct,11-6,,NOP,DM,42.5,-1.0,44.4,2.8,10.7,-1.6,-1.9,-3.8,,,,,,,,,,,,,,,,,
,Oct,,,ORC,ES,47.0,2.0,41.0,1.0,10.0,-1.0,6.0,1.0,,,,,,,,,,,,,,,,,
,Nov,1-6,,NOP,DM,46.8,4.3,38.6,-5.8,11.6,0.9,8.2,10.1,,,,,,,,,,,,,,,,,
,Nov,15-20,,NOP,DM,44.9,-1.9,38.9,0.3,12.3,0.7,6.0,-2.2,,,,,,,,,,,,,,,,,
,Nov,,,Gallup,DT,46.5,1.5,36.0,-2.0,11.5,-2.5,10.5,3.5,,,,,,41.0,,,,,,,,28.0,59.0,-31.0,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,,,ORC,ES,46.0,-1.0,39.0,-2.0,10.0,0.0,7.0,1.0,,,,,,,,,,,,,,,,,
,Dec,6-11,,NOP,DM,45.5,0.6,37.8,-1.1,12.5,0.2,7.7,1.7,,,,,,,,,,,,,,,,,
